"nr","year","resident","immigrant"
1,2021,20,5
2,2021,11,0
3,2021,8300,0
4,2021,0,4
5,2021,0,2
6,2021,30,35
7,2021,5,30
8,2021,210,420
9,2021,160,40
10,2021,1080,1730
11,2021,560,1420
1,2022,24,8
2,2022,13,3
3,2022,8400,0
4,2022,0,5
5,2022,0,3
6,2022,33,44
7,2022,7,52
8,2022,190,370
9,2022,180,60
10,2022,1180,1850
11,2022,560,1310
