Locatie,Transect,Part,Type,Lengte,Punt,Long,Lat,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,3,L,50,start,3.53156,51.26810,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,3,L,50,stop,3.53090,51.26791,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,4,L,50,start,3.53090,51.26791,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,4,L,50,stop,3.53023,51.26777,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,5,LW,50,start,3.53023,51.26777,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,5,LW,50,stop,3.53001,51.26735,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,6,L,50,start,3.53001,51.26735,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,6,L,50,stop,3.53026,51.26694,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,7,L,50,start,3.53026,51.26694,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,7,L,50,stop,3.53076,51.26662,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,8,LW,50,start,3.53076,51.26662,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,8,LW,50,stop,3.53129,51.26632,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,9,LW,50,start,3.53129,51.26632,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,9,LW,50,stop,3.53179,51.26600,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,10,L,50,start,3.53179,51.26600,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,10,L,50,stop,3.53217,51.26562,,,,,,,,,,,,,,,,,,,,,
