Survey_ID,Transect,Deeltraject,Tijd,Soort,Aantal,
12,1,6,15:39,Platbuik,1,
12,1,6,15:39,Smaragdlibel,3,
12,1,6,15:39,Glassnijder,1,
12,1,7,15:42,Lantaarntje,1,
12,1,7,15:42,Glassnijder,4,
12,1,7,15:42,Smaragdlibel,2,
12,1,7,15:42,Azuurwaterjuffer,1,
12,1,7,15:42,Variabele waterjuffer,1,
12,1,7,15:42,Viervlek,1,
12,1,7,15:42,Bruine winterjuffer,2,
12,1,8,15:47,Glassnijder,2,
12,1,8,15:47,Smaragdlibel,1,
12,1,9,15:53,Gewone oeverlibel,2,
12,1,9,15:53,Smaragdlibel,7,
12,1,9,15:53,Lantaarntje,7,
12,1,9,15:53,Glassnijder,4,
12,1,9,15:53,Bruine winterjuffer,8,
12,1,9,15:53,Azuurwaterjuffer,3,
12,1,9,15:53,Breedscheenjuffer,1,
12,1,10,16:00,Smaragdlibel,4,
12,1,10,16:00,Glassnijder,2,
12,1,10,16:00,Viervlek,2,
12,1,10,16:00,Grote keizerlibel,1,
12,2,1,16:57,Lantaarntje,3,
12,2,1,16:57,Gewone oeverlibel,1,
12,2,1,16:57,Glassnijder,2,
12,2,1,16:57,Bruine korenbout,1,
12,2,1,16:57,Watersnuffel,1,
12,2,2,17:05,Glassnijder,1,
12,2,3,17:12,Glassnijder,2,
12,2,3,17:12,Lantaarntje,3,
12,2,4,17:16,Glassnijder,3,
12,2,5,17:19,Lantaarntje,6,
12,2,5,17:19,Glassnijder,2,
12,2,5,17:19,Viervlek,1,
12,2,6,17:29,Glassnijder,3,
12,2,6,17:29,Smaragdlibel,1,
12,2,7,17:35,Variabele waterjuffer,4,
12,2,7,17:35,Lantaarntje,6,
12,2,7,17:35,Glassnijder,3,
12,2,7,17:35,Bruine korenbout,1,
12,2,7,17:35,Azuurwaterjuffer,2,
12,2,7,17:35,Weidebeekjuffer,1,
12,2,8,17:41,Glassnijder,2,
12,2,8,17:41,Bruine korenbout,1,
12,2,9,17:46,Glassnijder,4,
12,2,9,17:46,Lantaarntje,2,
12,2,9,17:46,Grote roodoogjuffer,2,
12,2,10,17:50,Bruine korenbout,3,
12,2,10,17:50,Glassnijder,7,
13,1,1,11:30,Lantaarntje,3,
13,1,1,11:30,Azuurwaterjuffer,1,
13,1,1,11:30,Variabele waterjuffer,1,
13,1,1,11:30,Gewone oeverlibel,2,
13,1,1,11:30,Bruine korenbout,2,
13,1,1,11:30,Viervlek,1,
13,1,1,11:30,Bloedrode heidelibel,4,
13,1,2,11:44,Gewone oeverlibel,10,
13,1,2,11:44,Bruine korenbout,2,
