"","basisOfRecord","eventDate","eventTime","scientificName","kingdom","taxonRank","individualCount","decimalLatitude","decimalLongitude","countryCode","project_area","Group","plantCategory","occurenceID"
"454","AcceptedTaxon",2021-06-24,"16:04+01:00","Sympetrum sanguineum","Animalia","species","1","51.1799","5.66322","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0417"
"455","AcceptedTaxon",2021-06-16,"12:58+01:00","Orthetrum cancellatum","Animalia","species","15","51.1799","5.66322","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0418"
"456","AcceptedTaxon",2021-06-16,"12:58+01:00","Aeshna isoceles","Animalia","species","1","51.1799","5.66322","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0419"
"457","AcceptedTaxon",2021-06-02,"16:57+01:00","Enallagma cyathigerum","Animalia","species","1","51.1799","5.66322","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0420"
"458","AcceptedTaxon",2021-06-02,"16:57+01:00","Brachytron pratense","Animalia","species","2","51.1799","5.66322","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0421"
"459","AcceptedTaxon",2021-06-02,"16:57+01:00","Libellula fulva","Animalia","species","1","51.1799","5.66322","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0422"
"460","AcceptedTaxon",2021-06-24,"16:38+01:00","Sympetrum sanguineum","Animalia","species","8","51.18341","5.65883","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0423"
"461","AcceptedTaxon",2021-06-24,"16:38+01:00","Aeshna isoceles","Animalia","species","1","51.18341","5.65883","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0424"
"462","AcceptedTaxon",2021-06-24,"16:38+01:00","Orthetrum cancellatum","Animalia","species","2","51.18341","5.65883","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0425"
"463","AcceptedTaxon",2021-06-02,"17:50+01:00","Brachytron pratense","Animalia","species","7","51.18341","5.65883","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0426"
"464","AcceptedTaxon",2021-06-16,"13:31+01:00","Sympetrum sanguineum","Animalia","species","1","51.18341","5.65883","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0427"
"465","AcceptedTaxon",2021-06-02,"17:50+01:00","Libellula fulva","Animalia","species","3","51.18341","5.65883","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0428"
"466","AcceptedTaxon",2021-06-24,"16:08+01:00","Sympetrum striolatum","Animalia","species","1","51.18005","5.66229","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0429"
"467","AcceptedTaxon",2021-06-24,"16:08+01:00","Sympetrum sanguineum","Animalia","species","6","51.18005","5.66229","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0430"
"468","AcceptedTaxon",2021-06-16,"13:03+01:00","Sympetrum sanguineum","Animalia","species","7","51.18005","5.66229","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0431"
"469","AcceptedTaxon",2021-06-24,"16:08+01:00","Libellula fulva","Animalia","species","1","51.18005","5.66229","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0432"
"470","AcceptedTaxon",2021-06-16,"13:03+01:00","Orthetrum cancellatum","Animalia","species","3","51.18005","5.66229","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0433"
"471","AcceptedTaxon",2021-06-02,"17:05+01:00","Brachytron pratense","Animalia","species","1","51.18005","5.66229","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0434"
"472","AcceptedTaxon",2021-06-24,"16:11+01:00","Ischnura elegans","Animalia","species","1","51.18016","5.66125","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0435"
"473","AcceptedTaxon",2021-06-16,"13:05+01:00","Aeshna isoceles","Animalia","species","1","51.18016","5.66125","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0436"
"474","AcceptedTaxon",2021-06-24,"16:11+01:00","Lestes sponsa","Animalia","species","1","51.18016","5.66125","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0437"
"475","AcceptedTaxon",2021-06-16,"13:05+01:00","Sympetrum sanguineum","Animalia","species","1","51.18016","5.66125","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0438"
"476","AcceptedTaxon",2021-06-16,"13:05+01:00","Brachytron pratense","Animalia","species","1","51.18016","5.66125","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0439"
"477","AcceptedTaxon",2021-06-24,"16:11+01:00","Coenagrion pulchellum","Animalia","species","1","51.18016","5.66125","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0440"
"478","AcceptedTaxon",2021-06-24,"16:11+01:00","Lestes barbarus","Animalia","species","1","51.18016","5.66125","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0441"
"479","AcceptedTaxon",2021-06-02,"17:12+01:00","Brachytron pratense","Animalia","species","2","51.18016","5.66125","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0442"
"480","AcceptedTaxon",2021-06-02,"17:12+01:00","Ischnura elegans","Animalia","species","3","51.18016","5.66125","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0443"
"481","AcceptedTaxon",2021-06-16,"13:05+01:00","Orthetrum cancellatum","Animalia","species","1","51.18016","5.66125","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0444"
"482","AcceptedTaxon",2021-06-24,"16:11+01:00","Sympetrum sanguineum","Animalia","species","1","51.18016","5.66125","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0445"
"483","AcceptedTaxon",2021-06-16,"13:08+01:00","Libellula fulva","Animalia","species","1","51.18026","5.66059","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0446"
"484","AcceptedTaxon",2021-06-16,"13:08+01:00","Orthetrum cancellatum","Animalia","species","1","51.18026","5.66059","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0447"
"485","AcceptedTaxon",2021-06-16,"13:08+01:00","Anax imperator","Animalia","species","1","51.18026","5.66059","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0448"
"487","AcceptedTaxon",2021-06-16,"13:08+01:00","Brachytron pratense","Animalia","species","1","51.18026","5.66059","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0449"
"488","AcceptedTaxon",2021-06-02,"17:16+01:00","Brachytron pratense","Animalia","species","3","51.18026","5.66059","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0450"
"489","AcceptedTaxon",2021-06-16,"13:08+01:00","Sympetrum sanguineum","Animalia","species","1","51.18026","5.66059","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0451"
"490","AcceptedTaxon",2021-06-16,"13:08+01:00","Aeshna isoceles","Animalia","species","1","51.18026","5.66059","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0452"
"491","AcceptedTaxon",2021-06-16,"13:12+01:00","Sympetrum sanguineum","Animalia","species","3","51.18083","5.66014","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0453"
"492","AcceptedTaxon",2021-06-02,"17:19+01:00","Ischnura elegans","Animalia","species","6","51.18083","5.66014","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0454"
"493","AcceptedTaxon",2021-06-02,"17:19+01:00","Brachytron pratense","Animalia","species","2","51.18083","5.66014","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0455"
"494","AcceptedTaxon",2021-06-02,"17:19+01:00","Libellula quadrimaculata","Animalia","species","1","51.18083","5.66014","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0456"
"495","AcceptedTaxon",2021-06-16,"13:12+01:00","Calopteryx splendens","Animalia","species","1","51.18083","5.66014","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0457"
"497","AcceptedTaxon",2021-06-02,"17:29+01:00","Cordulia aenea","Animalia","species","1","51.18148","5.65999","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0458"
"498","AcceptedTaxon",2021-06-02,"17:29+01:00","Brachytron pratense","Animalia","species","3","51.18148","5.65999","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0459"
"499","AcceptedTaxon",2021-06-16,"13:14+01:00","Aeshna isoceles","Animalia","species","1","51.18148","5.65999","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0460"
"500","AcceptedTaxon",2021-06-24,"16:23+01:00","Libellula fulva","Animalia","species","1","51.18148","5.65999","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0461"
"501","AcceptedTaxon",2021-06-02,"17:35+01:00","Ischnura elegans","Animalia","species","6","51.182","5.65997","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0462"
"502","AcceptedTaxon",2021-06-02,"17:35+01:00","Brachytron pratense","Animalia","species","3","51.182","5.65997","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0463"
"503","AcceptedTaxon",2021-06-16,"13:18+01:00","Sympetrum sanguineum","Animalia","species","7","51.182","5.65997","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0464"
"504","AcceptedTaxon",2021-06-02,"17:35+01:00","Coenagrion puella","Animalia","species","2","51.182","5.65997","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0465"
"505","AcceptedTaxon",2021-06-02,"17:35+01:00","Coenagrion pulchellum","Animalia","species","4","51.182","5.65997","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0466"
"506","AcceptedTaxon",2021-06-02,"17:35+01:00","Calopteryx splendens","Animalia","species","1","51.182","5.65997","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0467"
"507","AcceptedTaxon",2021-06-16,"13:18+01:00","Orthetrum cancellatum","Animalia","species","1","51.182","5.65997","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0468"
"509","AcceptedTaxon",2021-06-02,"17:35+01:00","Libellula fulva","Animalia","species","1","51.182","5.65997","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0469"
"510","AcceptedTaxon",2021-06-02,"17:41+01:00","Libellula fulva","Animalia","species","1","51.1825","5.65978","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0470"
"511","AcceptedTaxon",2021-06-16,"13:20+01:00","Sympetrum sanguineum","Animalia","species","3","51.1825","5.65978","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0471"
"512","AcceptedTaxon",2021-06-02,"17:41+01:00","Brachytron pratense","Animalia","species","2","51.1825","5.65978","BE",4,"Libellen",NA,"https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0472"
