Survey_ID,Transect,Deeltraject,Type,Lengte,Tijd,Soort,Aantal,
13,1,5,LW,50,12:16,Azuurwaterjuffer,1,
13,1,5,LW,50,12:16,Bruine korenbout,1,
13,1,5,LW,50,12:16,Glassnijder,1,
13,1,5,LW,50,12:16,Smaragdlibel,1,
13,1,5,LW,50,12:16,Bloedrode heidelibel,10,
13,1,6,L,50,12:20,Gewone oeverlibel,2,
13,1,6,L,50,12:20,Smaragdlibel,1,
13,1,6,L,50,12:20,Viervlek,1,
13,1,6,L,50,12:20,Bloedrode heidelibel,10,
13,1,7,LW,50,12:25,Breedscheenjuffer,1,
13,1,7,LW,50,12:25,Bloedrode heidelibel,100,
13,1,7,LW,50,12:25,Vroege glazenmaker,1,
13,1,8,L,50,12:31,Glassnijder,1,
13,1,8,L,50,12:31,Bloedrode heidelibel,100,
13,1,9,LW,50,12:34,Lantaarntje,2,
13,1,9,LW,50,12:34,Smaragdlibel,1,
13,1,9,LW,50,12:34,Bloedrode heidelibel,100,
13,1,9,LW,50,12:34,Vroege glazenmaker,1,
13,1,10,L,50,12:37,Bruine korenbout,1,
13,1,10,L,50,12:37,Glassnijder,1,
13,1,10,L,50,12:37,Viervlek,1,
13,1,10,L,50,12:37,Grote keizerlibel,1,
13,1,10,L,50,12:37,Bloedrode heidelibel,100,
13,2,1,LW,50,12:58,Lantaarntje,1,
13,2,1,LW,50,12:58,Gewone oeverlibel,15,
13,2,1,LW,50,12:58,Bruine korenbout,1,
13,2,1,LW,50,12:58,Vroege glazenmaker,1,
13,2,1,LW,50,12:58,Zuidelijke keizerlibel,1,
13,2,2,L,50,13:03,Gewone oeverlibel,3,
13,2,2,L,50,13:03,Bloedrode heidelibel,7,
13,2,3,LW,50,13:05,Gewone oeverlibel,1,
13,2,3,LW,50,13:05,Glassnijder,1,
13,2,3,LW,50,13:05,Bloedrode heidelibel,1,
13,2,3,LW,50,13:05,Vroege glazenmaker,1,
13,2,4,L,50,13:08,Gewone oeverlibel,1,
13,2,4,L,50,13:08,Bruine korenbout,1,
13,2,4,L,50,13:08,Glassnijder,1,
13,2,4,L,50,13:08,Grote keizerlibel,1,
13,2,4,L,50,13:08,Bloedrode heidelibel,1,
13,2,4,L,50,13:08,Vroege glazenmaker,1,
13,2,5,LW,50,13:12,Weidebeekjuffer,1,
13,2,5,LW,50,13:12,Bloedrode heidelibel,3,
13,2,6,L,50,13:14,Vroege glazenmaker,1,
13,2,7,LW,50,13:18,Gewone oeverlibel,1,
13,2,7,LW,50,13:18,Bloedrode heidelibel,7,
13,2,8,L,50,13:20,Glassnijder,1,
13,2,8,L,50,13:20,Bloedrode heidelibel,3,
13,2,9,LW,50,13:23,Tengere pantserjuffer,1,
13,2,9,LW,50,13:23,Gewone pantserjuffer,1,
13,2,9,LW,50,13:23,Bloedrode heidelibel,10,
13,2,10,L,50,13:31,Bloedrode heidelibel,1,
14,1,1,LW,50,13:55,Lantaarntje,18,
14,1,1,LW,50,13:55,Watersnuffel,1,
14,1,1,LW,50,13:55,Zwervende pantserjuffer,1,
14,1,1,LW,50,13:55,Gewone pantserjuffer,1,
14,1,1,LW,50,13:55,Gewone oeverlibel,1,
