"nr","year","mura","coypu"
1,2021,0.1,0.1
2,2021,0,0
3,2021,0.01,0.01
4,2021,0,0
5,2021,0,0
6,2021,0.02,0
7,2021,0.01,0
8,2021,0.02,0
9,2021,0.07,0
10,2021,0.18,0.02
11,2021,0.19,0.04
1,2022,0.2,0
2,2022,0,0
3,2022,0.01,0.01
4,2022,0,0
5,2022,0,0
6,2022,0.03,0
7,2022,0.01,0
8,2022,0.02,0
9,2022,0.09,0
10,2022,0.21,0.01
11,2022,0.23,0.03
