Locatie,Datum,Stops in meters,Locatie + Stops,Rondes,X,Y,Soorten,Aantal,Paringswiel,Ei-afzettend,Temperatuur,Bewolking,Neerslag,Bft
Rijnstrangengemaal,6/4/21,150,Rijnstrangengemaal 150,Ronde_1,51.91467,6.00052,Donkere waterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,200,Rijnstrangengemaal 200,Ronde_1,51.915024,6.006477,Azuurwaterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,200,Rijnstrangengemaal 200,Ronde_1,51.915024,6.006477,Blauwe breedscheenjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,200,Rijnstrangengemaal 200,Ronde_1,51.915024,6.006477,Watersnuffel,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,200,Rijnstrangengemaal 200,Ronde_1,51.915024,6.006477,Kleine Roodoofjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,200,Rijnstrangengemaal 200,Ronde_1,51.915024,6.006477,Grote Roodoogjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,200,Rijnstrangengemaal 200,Ronde_1,51.915024,6.006477,Lantaarntje,1,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,200,Rijnstrangengemaal 200,Ronde_1,51.915024,6.006477,Variabele waterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,200,Rijnstrangengemaal 200,Ronde_1,51.915024,6.006477,Maanwater juffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,200,Rijnstrangengemaal 200,Ronde_1,51.915024,6.006477,Speerwaterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,200,Rijnstrangengemaal 200,Ronde_1,51.915024,6.006477,Donkere waterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,250,Rijnstrangengemaal 250,Ronde_1,51.91518,6.00685,Azuurwaterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,250,Rijnstrangengemaal 250,Ronde_1,51.91518,6.00685,Blauwe breedscheenjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,250,Rijnstrangengemaal 250,Ronde_1,51.91518,6.00685,Watersnuffel,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,250,Rijnstrangengemaal 250,Ronde_1,51.91518,6.00685,Kleine Roodoofjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,250,Rijnstrangengemaal 250,Ronde_1,51.91518,6.00685,Grote Roodoogjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,250,Rijnstrangengemaal 250,Ronde_1,51.91518,6.00685,Lantaarntje,,1,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,250,Rijnstrangengemaal 250,Ronde_1,51.91518,6.00685,Variabele waterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,250,Rijnstrangengemaal 250,Ronde_1,51.91518,6.00685,Maanwater juffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,250,Rijnstrangengemaal 250,Ronde_1,51.91518,6.00685,Speerwaterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,250,Rijnstrangengemaal 250,Ronde_1,51.91518,6.00685,Donkere waterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangenaerdt,,0,Rijnstrangenaerdt 0,Ronde_1,51.89936,6.09373,Azuurwaterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,0,Rijnstrangenaerdt 0,Ronde_1,51.89936,6.09373,Blauwe breedscheenjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,0,Rijnstrangenaerdt 0,Ronde_1,51.89936,6.09373,Watersnuffel,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,0,Rijnstrangenaerdt 0,Ronde_1,51.89936,6.09373,Kleine Roodoofjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,0,Rijnstrangenaerdt 0,Ronde_1,51.89936,6.09373,Grote Roodoogjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,0,Rijnstrangenaerdt 0,Ronde_1,51.89936,6.09373,Lantaarntje,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,0,Rijnstrangenaerdt 0,Ronde_1,51.89936,6.09373,Variabele waterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,0,Rijnstrangenaerdt 0,Ronde_1,51.89936,6.09373,Maanwater juffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,0,Rijnstrangenaerdt 0,Ronde_1,51.89936,6.09373,Speerwaterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,0,Rijnstrangenaerdt 0,Ronde_1,51.89936,6.09373,Donkere waterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,50,Rijnstrangenaerdt 50,Ronde_1,51.89908,6.09409,Azuurwaterjuffer,,,,25,1/8,geen,NNO2
