basisOfRecord;eventDate;eventTime;scientificName;kingdom;taxonRank;individualCount;decimalLatitude;decimalLongitude;countryCode;plantCategory;Group
;2022-09-14;NA;Glechoma hederacea;Animalia;Species;5;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Iris pseudacorus;Animalia;Species;5;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Lycopus europaeus;Animalia;Species;5;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Solanum dulcamara;Animalia;Species;5;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Bidens frondosa;Animalia;Species;5;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Calystegia sepium;Animalia;Species;5;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Fallopia convolvulus;Animalia;Species;5;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Lemna minor;Animalia;Species;5;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Phalaris arundinacea;Animalia;Species;5;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Rubus fruticosus agg.;Animalia;Species;5;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Urtica dioica;Animalia;Species;5;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Bidens frondosa;Animalia;Species;5;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Calystegia sepium;Animalia;Species;5;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Galeopsis tetrahit agg.;Animalia;Species;5;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Lemna minor;Animalia;Species;5;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Rubus fruticosus agg.;Animalia;Species;5;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Urtica dioica;Animalia;Species;5;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Bidens frondosa;Animalia;Species;5;52.608157;6.794448;DE;NA;Plants
;2022-09-14;NA;Calystegia sepium;Animalia;Species;5;52.608157;6.794448;DE;NA;Plants
;2022-09-14;NA;Phragmites australis;Animalia;Species;5;52.608157;6.794448;DE;NA;Plants
;2022-09-14;NA;Solanum dulcamara;Animalia;Species;5;52.608157;6.794448;DE;NA;Plants
;2022-09-14;NA;Carex pseudocyperus;Animalia;Species;5;52.608157;6.794448;DE;NA;Plants
;2022-09-14;NA;Phragmites australis;Animalia;Species;5;52.608157;6.794448;DE;NA;Plants
;2022-09-14;NA;Poa trivialis;Animalia;Species;10;52.607141;6.794405;DE;NA;Plants
;2022-09-14;NA;Alnus glutinosa;Animalia;Species;10;52.607141;6.794405;DE;NA;Plants
;2022-09-14;NA;Festuca rubra;Animalia;Species;10;52.607141;6.794405;DE;NA;Plants
;2022-09-14;NA;Glyceria maxima;Animalia;Species;10;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Nuphar lutea;Animalia;Species;10;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Scirpus sylvaticus;Animalia;Species;10;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Spirodela polyrhiza;Animalia;Species;10;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Calystegia sepium;Animalia;Species;10;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Lemna minor;Animalia;Species;10;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Phalaris arundinacea;Animalia;Species;10;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Poa trivialis;Animalia;Species;10;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Spirodela polyrhiza;Animalia;Species;10;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Spirodela polyrhiza;Animalia;Species;10;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Fallopia convolvulus;Animalia;Species;10;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Phalaris arundinacea;Animalia;Species;10;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Carex pseudocyperus;Animalia;Species;10;52.608157;6.794448;DE;NA;Plants
;2022-09-14;NA;Calystegia sepium;Animalia;Species;10;52.608157;6.794448;DE;NA;Plants
;2022-09-14;NA;Urtica dioica;Animalia;Species;10;52.608157;6.794448;DE;NA;Plants
;2022-09-14;NA;Glyceria maxima;Animalia;Species;15;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Nuphar lutea;Animalia;Species;15;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Spirodela polyrhiza;Animalia;Species;15;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Nuphar lutea;Animalia;Species;20;52.607141;6.794405;DE;NA;Plants
;2022-09-14;NA;Nuphar lutea;Animalia;Species;20;52.607141;6.794405;DE;NA;Plants
;2022-09-14;NA;Lemna minor;Animalia;Species;20;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Scirpus sylvaticus;Animalia;Species;20;52.606229;6.800070;DE;NA;Plants
;2022-09-14;NA;Scirpus sylvaticus;Animalia;Species;20;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Poa trivialis;Animalia;Species;30;52.607141;6.794405;DE;NA;Plants
;2022-09-14;NA;Scirpus sylvaticus;Animalia;Species;40;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Nuphar lutea;Animalia;Species;50;52.608157;6.794448;DE;NA;Plants
;2022-09-14;NA;Nuphar lutea;Animalia;Species;60;52.608157;6.794448;DE;NA;Plants
;2022-09-14;NA;Lemna minor;Animalia;Species;60;52.608157;6.794448;DE;NA;Plants
;2022-09-14;NA;Scirpus sylvaticus;Animalia;Species;70;52.607141;6.794405;DE;NA;Plants
;2022-09-14;NA;Scirpus sylvaticus;Animalia;Species;80;52.607141;6.794405;DE;NA;Plants
;2022-09-14;NA;Nuphar lutea;Animalia;Species;80;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Nuphar lutea;Animalia;Species;80;52.606932;6.798868;DE;NA;Plants
;2022-09-14;NA;Lemna minor;Animalia;Species;80;52.608157;6.794448;DE;NA;Plants
